season,player_id,name,position,team,games,points,ppg,attempts,completions,passing_yards,passing_tds,passing_interceptions,carries,rushing_yards,rushing_tds,rushing_first_downs,targets,receptions,receiving_yards,receiving_tds,receiving_first_downs
2024,00-0031687,Raheem Mostert,RB,MIA,13,78.15,6.01,0,0,0,0,0,85,278,2,13,23,19,161,0,10
2024,00-0031690,Eric Tomlinson,TE,LAC,5,1.9,0.38,0,0,0,0,0,0,0,0,0,4,2,9,0,0
2024,00-0031763,DeAndre Carter,WR,CHI,13,9.45,0.73,0,0,0,0,0,0,0,0,0,14,9,72,0,3
2024,00-0031800,Taylor Heinicke,QB,LAC,4,0.37,0.09,5,3,28,0,0,2,20,0,1,0,0,0,0,0
2024,00-0031941,Jamison Crowder,WR,WAS,5,20.7,4.14,0,0,0,0,0,0,0,0,0,13,9,72,2,4
2024,00-0032104,Ameer Abdullah,RB,LV,15,127.3,8.49,0,0,0,0,0,66,311,2,14,47,40,261,3,16
2024,00-0032128,Chris Conley,WR,SF,9,11.35,1.26,0,0,0,0,0,0,0,0,0,12,6,76,0,3
2024,00-0032134,C.J. Uzomah,TE,PHI,2,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,00-0032141,Geoff Swaim,TE,CLE,3,1.2,0.4,0,0,0,0,0,0,0,0,0,1,1,7,0,0
2024,00-0032211,Tyler Lockett,WR,SEA,17,110.0,6.47,0,0,0,0,0,0,0,0,0,74,49,600,2,36
2024,00-0032268,Marcus Mariota,QB,WAS,3,50.96,16.99,44,34,364,4,0,18,92,1,6,0,0,0,0,0
2024,00-0032385,Sterling Shepard,WR,TB,13,75.6,5.82,0,0,0,0,0,8,69,0,4,51,32,334,1,16
2024,00-0032392,Austin Hooper,TE,NE,17,94.85,5.58,0,0,0,0,0,0,0,0,0,59,45,476,3,25
2024,00-0032394,Nick Vannett,TE,TEN,12,41.75,3.48,0,0,0,0,0,0,0,0,0,20,17,135,3,7
