key,name,position,team,adp,raw_200,aav_200,market,source,status,out
chris olave,Chris Olave,WR,NO,23.5,37.8,34.245829599680775,43,curve,,False
omarion hampton,Omarion Hampton,RB,LAC,24.3,36.839999999999996,33.25060273328703,42,curve,,False
josh jacobs,Josh Jacobs,RB,GB,25.1,35.9,32.27997088944727,41,curve,,False
zay flowers,Zay Flowers,WR,BAL,25.7,35.3,31.662456525995907,40,curve,,False
malik nabers,Malik Nabers,WR,NYG,26.8,34.2,30.534561447047814,38,curve,,False
kyren williams,Kyren Williams,RB,LAR,27.4,33.6,29.921689655909898,38,curve,,False
jeremiyah love,Jeremiyah Love,RB,ARI,29.4,31.6,27.89112264230599,35,curve,,False
tetairoa mcmillan,Tetairoa McMillan,WR,CAR,30.9,30.37,26.65208297948,34,curve,,False
garrett wilson,Garrett Wilson,WR,NYJ,31.5,29.95,26.23075733372304,33,curve,,False
devonta smith,DeVonta Smith,WR,PHI,31.6,29.88,26.160625007658084,33,curve,,False
josh allen,Josh Allen,QB,BUF,33.0,28.9,25.181469716836936,32,curve,,False
javonte williams,Javonte Williams,RB,DAL,33.3,28.69,24.97231408372859,31,curve,,False
emeka egbuka,Emeka Egbuka,WR,TB,33.5,28.55,24.83300882405621,31,curve,,False
breece hall,Breece Hall,RB,NYJ,35.0,27.5,23.791630145613507,30,curve,,False
tee higgins,Tee Higgins,WR,CIN,36.1,26.73,23.031857927986607,29,curve,,False
cam skattebo,Cam Skattebo,RB,NYG,37.0,26.1,22.412750017963106,28,curve,,False
trey mcbride,Trey McBride,TE,ARI,37.8,25.540000000000003,21.86438086128195,27,curve,,False
davante adams,Davante Adams,WR,LAR,37.9,25.470000000000002,21.79596554941574,27,curve,,False
travis etienne,Travis Etienne Jr.,RB,NO,38.6,24.98,21.31788304094546,27,curve,,False
jameson williams,Jameson Williams,WR,DET,39.3,24.490000000000002,20.841261652168477,26,curve,,False
ladd mcconkey,Ladd McConkey,WR,LAC,41.1,23.45,19.834617797550315,25,curve,,False
dandre swift,D'Andre Swift,RB,CHI,43.3,22.35,18.777481477876897,24,curve,,False
brock bowers,Brock Bowers,TE,LV,43.5,22.25,18.681775961136218,23,curve,,False
terry mclaurin,Terry McLaurin,WR,WAS,44.8,21.6,18.06134611328832,23,curve,,False
dj moore,DJ Moore,WR,BUF,45.6,21.2,17.680992350659942,22,curve,,False
bucky irving,Bucky Irving,RB,TB,46.5,20.75,17.254441903836245,22,curve,,False
jaylen waddle,Jaylen Waddle,WR,DEN,47.8,20.1,16.640886820855503,21,curve,,False
rome odunze,Rome Odunze,WR,CHI,48.4,19.8,16.35875440782162,20,curve,,False
drake maye,Drake Maye,QB,NE,51.4,18.44,15.08834199616619,19,curve,,False
quinshon judkins,Quinshon Judkins,RB,CLE,51.8,18.28,14.939833501444443,19,curve,,False
ollie gordon,Ollie Gordon II,RB,MIA,52.0,18.2,14.865656338140052,19,curve,,False
bhayshul tuten,Bhayshul Tuten,RB,JAX,52.7,17.919999999999998,14.606444440009131,18,curve,,False
mike evans,Mike Evans,WR,SF,54.2,17.32,14.05316314191259,18,curve,,False
david montgomery,David Montgomery,RB,HOU,55.3,16.880000000000003,13.649349603288359,17,curve,,False
lamar jackson,Lamar Jackson,QB,BAL,55.6,16.759999999999998,13.53950726963356,17,curve,,False
christian watson,Christian Watson,WR,GB,56.2,16.52,13.320199035300828,17,curve,,False
joe burrow,Joe Burrow,QB,CIN,57.1,16.16,12.992190187527754,16,curve,,False
courtland sutton,Courtland Sutton,WR,DEN,58.9,15.440000000000001,12.33969074436368,15,curve,,False
luther burden,Luther Burden III,WR,CHI,59.3,15.280000000000001,12.195343164144905,15,curve,,False
alec pierce,Alec Pierce,WR,IND,60.2,14.919999999999998,11.87144968450809,15,curve,,False
colston loveland,Colston Loveland,TE,CHI,62.2,14.119999999999997,11.1562115604454,14,curve,,False
jaylen warren,Jaylen Warren,RB,PIT,62.4,14.04,11.08504001998476,14,curve,,False
treveyon henderson,TreVeyon Henderson,RB,NE,62.4,14.04,11.08504001998476,14,curve,,False
dk metcalf,DK Metcalf,WR,PIT,63.9,13.440000000000001,10.553361275381494,13,curve,,False
rhamondre stevenson,Rhamondre Stevenson,RB,NE,65.1,12.973333333333334,10.14247211234734,13,curve,,False
parker washington,Parker Washington,WR,JAX,65.2,12.946666666666665,10.119064236634252,13,curve,,False
marvin harrison,Marvin Harrison Jr.,WR,ARI,65.2,12.946666666666665,10.119064236634252,13,curve,,False
dak prescott,Dak Prescott,QB,DAL,66.4,12.626666666666665,9.83878437862053,12,curve,,False
tony pollard,Tony Pollard,RB,TEN,67.7,12.28,9.536450108724507,12,curve,,False
brian thomas,Brian Thomas Jr.,WR,JAX,69.2,11.879999999999999,9.189330902225302,11,curve,,False
jayden daniels,Jayden Daniels,QB,WAS,70.4,11.559999999999999,8.913005444342224,11,curve,,False
tyler warren,Tyler Warren,TE,IND,73.2,10.813333333333333,8.273170904842997,10,curve,,False
jadarian price,Jadarian Price,RB,SEA,73.7,10.68,8.159664777765592,10,curve,,False
rico dowdle,Rico Dowdle,RB,PIT,74.2,10.546666666666667,8.046392599051448,10,curve,,False
michael wilson,Michael Wilson,WR,ARI,75.1,10.306666666666668,7.8431011322890365,10,curve,,False
matthew stafford,Matthew Stafford,QB,LAR,75.4,10.226666666666665,7.775510639491927,10,curve,,False
carnell tate,Carnell Tate,WR,TEN,75.4,10.226666666666665,7.775510639491927,10,curve,,False
chris godwin,Chris Godwin Jr.,WR,TB,76.6,9.906666666666668,7.5060324972403025,9,curve,,False
jk dobbins,J.K. Dobbins,RB,DEN,77.8,9.586666666666668,7.23800095700489,9,curve,,False
jalen hurts,Jalen Hurts,QB,PHI,79.7,9.079999999999998,6.816689046557455,8,curve,,False
seattle defense,Seattle Defense,DEF,SEA,80.6,8.88,6.651454782266555,8,curve,,False
